grid_id,region,latitude,longitude,timestamp,resolution_km,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,soil_moisture_0_to_7cm,vpd,fire_weather_index,fuel_model_fbfm40,canopy_cover_pct,vegetation_type,ndvi,elevation_m,slope_degrees,aspect_degrees,active_fire_count,mean_frp,median_frp,max_confidence,nearest_fire_distance_km,fire_detected_binary,days_since_last_precipitation,cumulative_wind_run_24h,drought_index_proxy,data_quality_flag,dominant_fuel_fraction,date
82268ffffffffff,texas,38.200356,-104.687888,2024-06-01 00:00:00+00:00,64,20.289583333333333,46.583333333333336,8.2875,39.93862098813337,0.0,0.1763541666666666,1.478125,4.5156307,102.0,9.896655829075709,7149.0,0.3295847854744525,1870.0,0.7417188882827759,253.7266900645681,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,397.8,0.3792523148148147,0,0.4708091843534804,2024-06-01
82455ffffffffff,texas,25.560097,-91.413517,2024-06-01 00:00:00+00:00,64,28.085416666666664,86.10416666666667,27.429166666666664,129.43563297945212,0.0,0.0,0.5287499999999999,6.108056,,-9999.0,,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,1316.6,0.5636458333333334,5,,2024-06-01
82454ffffffffff,texas,25.50195,-94.680108,2024-06-01 00:00:00+00:00,64,28.24375,89.14583333333333,29.291666666666668,130.1750162854202,0.1,0.0,0.4164583333333333,5.8274145,,-9999.0,,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,1406.0,0.564525462962963,5,,2024-06-01
82265ffffffffff,texas,35.894607,-91.507791,2024-06-01 00:00:00+00:00,64,21.2,80.39583333333333,12.05625,121.8783234737742,51.5,0.4479583333333333,0.5647916666666667,0.028656375,93.0,31.92860397657179,7994.0,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,578.7,0.1594111111111111,5,0.2534536603798749,2024-06-01
8226effffffffff,texas,35.959293,-95.0915,2024-06-01 00:00:00+00:00,64,21.010416666666668,85.77083333333333,6.397916666666667,90.63413580090256,3.1,0.486875,0.4312499999999999,0.21973488,102.0,27.959404340052885,7977.0,0.601300045575405,274.2724813742704,1.002921639459656,231.12347413595668,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,307.1,0.1272245370370369,0,0.3843955079275016,2024-06-01
8248f7fffffffff,texas,30.21862,-105.479934,2024-06-01 00:00:00+00:00,64,27.785416666666663,16.1875,12.235416666666666,152.5764072380661,0.0,0.0125833333333333,3.324375,15.3205805,141.0,-3413.021740476289,7100.0,0.2229723437561655,1348.0517678579972,1.7424620457753217,69.70624836831816,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,587.3,0.5519125,0,0.2814463191866021,2024-06-01
8248affffffffff,texas,27.70131,-103.393282,2024-06-01 00:00:00+00:00,64,29.84375,34.125,11.102083333333333,21.77057368120385,0.0,0.0149166666666666,3.1733333333333333,9.805796,141.0,-7812.623366099055,7100.0,0.237868918528893,1272.8737514603572,2.217496362263317,86.85723285546733,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,532.9,0.5614810185185185,0,0.5054151624548736,2024-06-01
8226d7fffffffff,texas,35.756503,-102.472479,2024-06-01 00:00:00+00:00,64,21.310416666666665,62.3125,10.922916666666666,140.48044260186586,2.0,0.17575,1.2125,0.76123816,102.0,0.4521605095801476,7149.0,0.353569455479638,1201.9536158440417,0.5829082549868139,108.88360409163772,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,524.3000000000001,0.3777912037037037,0,0.5549544215673264,2024-06-01
82444ffffffffff,texas,33.377732,-93.220777,2024-06-01 00:00:00+00:00,64,22.972916666666663,86.14583333333333,7.933333333333334,166.36166570235025,16.1,0.4848333333333333,0.479375,0.012696714,186.0,42.83561161760016,9322.0,0.6787873080441594,138.06035124479612,0.477986351872019,146.75799970937743,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,380.7999999999999,0.1397606481481481,0,0.1738571004387942,2024-06-01
824887fffffffff,texas,27.945084,-99.915168,2024-06-01 00:00:00+00:00,64,30.427083333333332,62.354166666666664,21.060416666666665,119.58075922225795,3.9,0.2647708333333333,1.8485416666666667,2.4574087,122.0,-1724.6619929038602,7390.0,0.3852557175253624,282.59986105915675,0.6644194126409448,104.39314419962356,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1010.9,0.3572226851851852,0,0.6824111386650135,2024-06-01
