grid_id,region,latitude,longitude,timestamp,resolution_km,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,soil_moisture_0_to_7cm,vpd,fire_weather_index,fuel_model_fbfm40,canopy_cover_pct,vegetation_type,ndvi,elevation_m,slope_degrees,aspect_degrees,active_fire_count,mean_frp,median_frp,max_confidence,nearest_fire_distance_km,fire_detected_binary,days_since_last_precipitation,cumulative_wind_run_24h,drought_index_proxy,data_quality_flag,dominant_fuel_fraction,date
82484ffffffffff,california,31.07111,-118.380451,2024-06-03 00:00:00+00:00,64,15.541666666666666,85.29166666666667,34.87916666666667,314.5422996143529,0.6000000000000001,0,0.25895833333333335,7.009697,98,-9931.904749,7292,0.40592210195291534,0,0,0,0,0,0,0,-1,0,2,1674.1999999999998,0.49395833333333333,0,0.46909667194928684,6/3/24
8229a7fffffffff,california,33.969092,-117.246454,2024-06-03 00:00:00+00:00,64,17.229166666666668,71.1875,9.706249999999999,328.7563509000482,0,0.033583333,0.7195833333333334,3.0755684,101,-1663.968845,7087,0.2726909520913938,575.8655648321691,2.616281654668598,358.5956194094066,0,0,0,0,-1,0,2,465.8999999999999,0.47646666666666665,0,0.20707607974669287,6/3/24
8229b7fffffffff,california,34.580911,-113.628332,2024-06-03 00:00:00+00:00,64,29.806250000000002,15.625,9.775,217.6062080999784,0,0.021854166666666664,3.6722916666666667,14.917157,122,3.7804404277506287,7109,0.22233665855784282,568.8567926956308,2.290681826015687,185.4181110836348,0,0,0,0,-1,0,2,469.20000000000005,0.5557226851851852,0,0.29738074304291817,6/3/24
8228affffffffff,california,43.698313,-119.961358,2024-06-03 00:00:00+00:00,64,14.3375,52.25,21.91875,255.5066291576508,2.5,0.03525,0.8295833333333333,1.514331,122,11.61680994118204,7080,,,,,0,0,0,0,-1,0,2,1052.1000000000001,0.45906851851851854,5,0.28394659034712066,6/3/24
82298ffffffffff,california,38.960282,-118.543846,2024-06-03 00:00:00+00:00,64,23.33125,25.208333333333332,13.427083333333334,317.9925745821087,0,0.016770833333333336,2.2602083333333334,11.019152,122,7.218260371662069,7080,0.23026323217493747,1838.2856904880894,4.110307801828252,306.28405924447674,0,0,0,0,-1,0,2,644.5,0.5238171296296297,0,0.144927385,6/3/24
822917fffffffff,california,33.261654,-120.768696,2024-06-03 00:00:00+00:00,64,14.297916666666666,90.8125,46.7875,318.6662190020812,0,0,0.14916666666666667,9.965176,98,-9106.918258,7292,0.5311406781663106,31.59792733698745,0.470707095,358.7278681876819,0,0,0,0,-1,0,2,2245.8,0.48704861111111114,0,0.4775232018561485,6/3/24
822807fffffffff,california,40.131717,-124.76073,2024-06-03 00:00:00+00:00,64,11.856250000000001,96.04166666666667,17.5,302.95012361252554,1.5,0,0.055416667,0.66416,165,-2351.827183,7043,0.7217007025940587,511.36098173197604,4.354887009892966,344.0890967198723,0,0,0,0,-1,0,2,840,0.4734837962962963,0,0.33061852574688483,6/3/24
8229affffffffff,california,36.13581,-119.688987,2024-06-03 00:00:00+00:00,64,26.25,34.270833333333336,10.645833333333334,342.2133475004768,0,0.137,2.460625,8.491606,102,-337.9188468,9301,0.4163413068667344,811.2720121796499,3.8102134388187885,275.41051256701405,0,0,0,0,-1,0,2,510.99999999999994,0.4438490740740741,0,0.26572028063733527,6/3/24
8228b7fffffffff,california,42.336666,-113.430901,2024-06-03 00:00:00+00:00,64,17.522916666666667,39.3125,5.804166666666667,276.3417943804103,4.8,0.034916666666666665,1.2979166666666666,0.35973114,122,3.180596545673979,7080,0.2200099223838891,1890.592793490895,2.7394517250460093,91.77764502364596,0,0,0,0,-1,0,0,278.6,0.46941620370370374,0,0.2872080404864048,6/3/24
82485ffffffffff,california,31.705258,-114.87464,2024-06-03 00:00:00+00:00,64,27.806250000000002,59.8125,16.420833333333334,137.62562960417284,0,0.014895833333333332,1.6835416666666667,6.303242,99,-4504.21555,7087,0.20546651120855733,165.82764541747156,1.0395563358553337,259.9221441972715,0,0,0,0,-1,0,2,788.2000000000002,0.5501782407407407,0,0.27770325164849696,6/3/24
822907fffffffff,california,32.470766,-124.17341,2024-06-03 00:00:00+00:00,64,15.606250000000001,89.0625,32.916666666666664,330.4659402549769,0.1,0,0.194375,5.82121,,,,,,,,0,0,0,0,-1,0,2,1580,0.49431712962962965,4,,6/3/24
822997fffffffff,california,37.402442,-112.312509,2024-06-03 00:00:00+00:00,64,17.647916666666667,19.3125,19.04583333333333,257.50836106795816,0,0.095291667,1.6920833333333334,13.530205,122,8.346996194640111,7016,0.2528408751095066,1707.2655233589592,2.185946798,223.83498161883387,0,0,0,0,-1,0,2,914.2000000000002,0.42942638888888895,0,0.3048943405392276,6/3/24
822827fffffffff,california,37.330339,-125.710645,2024-06-03 00:00:00+00:00,64,14.189583333333333,94.27083333333333,28.474999999999998,306.77004915270334,0.2,0,0.092708333,3.6356122,,,,,0,0,0,0,0,0,0,-1,0,2,1366.8,0.48644675925925923,5,,6/3/24
822887fffffffff,california,44.400306,-116.036346,2024-06-03 00:00:00+00:00,64,10.88125,78.33333333333333,9.102083333333333,245.5087380698656,26.400000000000002,0.3916458333333333,0.34354166666666663,0.004491675,122,12.376121612037865,7125,,,,,0,0,0,0,-1,0,0,436.8999999999999,0.14713472222222224,5,0.2523100325819946,6/3/24
82291ffffffffff,california,35.351579,-123.214462,2024-06-03 00:00:00+00:00,64,14.214583333333332,92.6875,34.770833333333336,322.3957036942771,0.1,0,0.11875000000000001,5.4232593,98,-9354.528378,7292,0.666287388,34.657760971981155,0.48662898203699595,358.40998552346844,0,0,0,0,-1,0,2,1669,0.48658564814814814,0,0.35413056036972845,6/3/24
822937fffffffff,california,30.354437,-121.787719,2024-06-03 00:00:00+00:00,64,16.306250000000002,85.39583333333333,37.225,332.3756931050145,0.2,0,0.2710416666666667,8.117282,,-9999,,,,,,0,0,0,0,-1,0,2,1786.8,0.4982060185185186,5,,6/3/24
82281ffffffffff,california,42.874491,-123.748579,2024-06-03 00:00:00+00:00,64,11.983333333333334,84.89583333333333,12.495833333333332,226.2762087849084,24.7,0.3845416666666666,0.22624999999999998,0.003248453,165,-2642.802198,7043,0.6499715942516536,830.1980380730381,6.445819371600622,330.08221848098606,0,0,0,0,-1,0,0,599.8000000000001,0.15894074074074077,0,0.23099297583315284,6/3/24
82298ffffffffff,california,38.960282,-118.543846,2024-06-04 00:00:00+00:00,64,22.50208333333333,33.6875,13.314583333333333,321.6440964592838,0,0.016666666666666666,1.9489583333333333,8.627377,122,7.218260371662069,7080,0.23026323217493747,1838.2856904880894,4.110307801828252,306.28405924447674,0,0,0,0,-1,0,2,639.1,0.5192939814814815,0,0.144927385,6/4/24
8228affffffffff,california,43.698313,-119.961358,2024-06-04 00:00:00+00:00,64,14.291666666666666,52.854166666666664,23.835416666666664,248.20699038837492,1.4000000000000001,0.041583333,0.839375,3.7669718,122,11.61680994118204,7080,,,,,0,0,0,0,-1,0,2,1144.1,0.45374722222222225,5,0.28394659034712066,6/4/24
8229b7fffffffff,california,34.580911,-113.628332,2024-06-04 00:00:00+00:00,64,30.472916666666666,16.3125,8.258333333333333,247.00743344799108,0,0.021479166666666664,3.770208333333333,14.002019,122,3.7804404277506287,7109,0.22233665855784282,568.8567926956308,2.290681826015687,185.4181110836348,0,0,0,0,-1,0,2,396.3999999999999,0.5597263888888889,0,0.29738074304291817,6/4/24
82484ffffffffff,california,31.07111,-118.380451,2024-06-04 00:00:00+00:00,64,15.65625,87.375,32.447916666666664,311.8722508127964,0.6000000000000001,0,0.225,5.8461967,98,-9931.904749,7292,0.40592210195291534,0,0,0,0,0,0,0,-1,0,2,1557.5,0.4945949074074074,0,0.46909667194928684,6/4/24
822837fffffffff,california,38.193209,-122.196197,2024-06-04 00:00:00+00:00,64,19.964583333333334,67.85416666666667,14.6875,252.17212794390554,0,0.11362500000000002,1.0097916666666666,4.329772,102,-1649.819635,9301,0.5383573148838018,224.62937124111536,1.7710454397295994,336.9931888604692,0,0,0,0,-1,0,2,705,0.4276300925925926,0,0.23616643264463993,6/4/24
